PROJECT_ID,USR_PRINCIPAL_INVESTIGATOR,USR_DIAGNOSIS_AREA,USR_FUNDING_DATE_START,USR_FUNDING_DATE_END
109,Carolyn Baum,11,1/1/83,12/31/88
206,Roseann Schaaf,29,1/1/84,12/31/85
136,Carolyn Baum,29,1/1/85,12/31/86
347,Anne Henderson,2,1/1/85,12/31/87
348,Mary Lawlor,2,1/1/85,12/31/85
319,Joan Rogers,29,1/1/85,12/31/86
320,Joan Rogers,11,1/1/85,12/31/86
317,Michael McCue,29,1/1/86,12/31/89
318,Joan Rogers,16,1/1/86,12/31/87
341,Mary Lawlor,2,1/1/87,12/31/93
316,Janet Poole,3,1/1/87,12/31/98
346,Gary Kielhofner,2,1/1/87,12/31/91
137,S. Logan,28,1/1/88,12/31/89
137,S. Logan,17,1/1/88,12/31/89
137,S. Logan,13,1/1/88,12/31/89
315,Joan Rogers,3,1/1/88,12/31/90
345,Trudy Latzko,2,1/1/88,12/31/89
108,Carolyn Baum,29,1/1/82,12/31/84
